               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068443,            0.022185,                   0,             0.76652,             0.84264,             0.87697,              0.4344,            0.040567,            0.012794,                   0,            0.070227,           0.0033081,           0.0033081
                   1,            0.046657,            0.012958,                   0,             0.98258,             0.99333,             0.99296,             0.52814,             0.03191,           0.0075736,                   0,            0.040205,           0.0066195,           0.0066195
                   2,            0.042018,           0.0096238,                   0,             0.74698,             0.88333,             0.83502,             0.30759,            0.043462,           0.0060498,                   0,            0.010161,           0.0099089,           0.0099089
                   3,            0.036443,           0.0082608,                   0,             0.99114,                   1,             0.99423,              0.6006,            0.026403,           0.0055693,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.029865,            0.006974,                   0,             0.99889,                   1,               0.995,             0.63459,            0.025113,           0.0052035,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.027791,           0.0065688,                   0,             0.99598,             0.99667,              0.9948,             0.65272,            0.025551,           0.0049082,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.026223,           0.0062757,                   0,             0.99919,                   1,               0.995,             0.70386,            0.021862,           0.0047772,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.025297,           0.0061224,                   0,             0.99948,                   1,               0.995,             0.69432,            0.021656,           0.0047491,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.024072,           0.0059489,                   0,              0.9996,                   1,               0.995,             0.70353,            0.020882,           0.0046612,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.023511,           0.0056401,                   0,             0.99974,                   1,               0.995,             0.68548,            0.021902,           0.0046639,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.023434,           0.0058662,                   0,             0.99971,                   1,               0.995,              0.7189,            0.020145,           0.0045748,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.023045,           0.0057802,                   0,             0.99969,                   1,               0.995,             0.71342,            0.020463,           0.0045258,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.022892,           0.0056801,                   0,             0.99975,                   1,               0.995,             0.70374,            0.020542,           0.0045787,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.022628,           0.0056156,                   0,             0.99965,                   1,               0.995,             0.68615,            0.021004,           0.0047984,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.022416,           0.0054764,                   0,                   1,             0.99955,               0.995,             0.72631,            0.019625,           0.0045619,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.022608,           0.0054984,                   0,             0.99662,                   1,               0.995,             0.71402,            0.019948,            0.004508,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.021427,           0.0055208,                   0,             0.99976,                   1,               0.995,             0.71077,            0.020196,           0.0046057,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.021863,             0.00545,                   0,             0.99974,                   1,               0.995,             0.72123,            0.019774,           0.0045891,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.021116,           0.0053948,                   0,             0.99637,                   1,             0.99497,             0.72091,            0.019641,           0.0045709,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.021396,            0.005318,                   0,             0.99972,                   1,               0.995,             0.73342,            0.019248,           0.0044978,                   0,            0.009406,            0.009406,            0.009406
                  20,             0.02089,           0.0053466,                   0,             0.99917,                   1,               0.995,             0.72083,            0.019647,           0.0045379,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.020503,           0.0053433,                   0,             0.99932,                   1,               0.995,             0.72382,            0.020011,           0.0045448,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.020401,           0.0053018,                   0,             0.99955,                   1,               0.995,             0.71291,            0.020801,           0.0046909,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.020419,           0.0052966,                   0,             0.99972,                   1,               0.995,             0.72401,            0.019743,           0.0045661,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.020761,            0.005352,                   0,             0.99957,                   1,               0.995,             0.71288,            0.020069,           0.0046108,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.019973,           0.0051639,                   0,             0.99956,                   1,               0.995,             0.73052,            0.019529,            0.004583,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.019133,           0.0051628,                   0,             0.99916,                   1,               0.995,             0.71029,            0.020249,           0.0047314,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.019742,           0.0051986,                   0,              0.9995,                   1,               0.995,              0.7088,             0.02036,           0.0046094,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.019355,           0.0052114,                   0,             0.99728,                   1,               0.995,             0.70803,            0.020407,           0.0046858,                   0,            0.009109,            0.009109,            0.009109
                  29,             0.01914,           0.0050243,                   0,             0.99944,                   1,               0.995,             0.71888,              0.0199,           0.0047114,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.018342,           0.0049055,                   0,             0.99945,                   1,               0.995,             0.71463,            0.019949,           0.0046448,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.018836,           0.0051547,                   0,             0.99951,                   1,               0.995,             0.71222,            0.019842,           0.0046665,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.018569,           0.0050238,                   0,             0.99956,                   1,               0.995,             0.70416,            0.019797,           0.0046752,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.018329,           0.0050579,                   0,             0.99982,                   1,               0.995,             0.70951,            0.020288,            0.004675,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.018638,           0.0049396,                   0,             0.99924,                   1,               0.995,             0.70965,            0.019954,            0.004688,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.018312,           0.0047836,                   0,                   1,             0.99934,               0.995,             0.71371,             0.02016,           0.0047517,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.017992,           0.0049227,                   0,             0.99633,                   1,               0.995,             0.71129,            0.020588,           0.0048035,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.017925,           0.0048402,                   0,             0.99874,                   1,               0.995,             0.71531,            0.019899,           0.0047767,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.017693,           0.0048156,                   0,             0.99643,                   1,               0.995,             0.70404,            0.020513,            0.004769,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.017391,           0.0046745,                   0,             0.99784,                   1,               0.995,             0.71581,            0.020491,           0.0048378,                   0,            0.008746,            0.008746,            0.008746
