               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076656,            0.023379,                   0,             0.83734,             0.78931,             0.84315,             0.36173,            0.039301,            0.015416,                   0,            0.070227,           0.0033081,           0.0033081
                   1,            0.048477,            0.015183,                   0,             0.94059,                0.92,             0.96646,             0.50711,             0.03217,            0.008873,                   0,            0.040205,           0.0066195,           0.0066195
                   2,            0.042543,            0.011198,                   0,             0.81944,             0.93667,             0.94558,             0.30005,            0.045253,           0.0067987,                   0,            0.010161,           0.0099089,           0.0099089
                   3,            0.036798,           0.0088001,                   0,             0.99322,                   1,               0.995,               0.636,            0.026506,           0.0054862,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.031416,           0.0074178,                   0,             0.99667,             0.99836,             0.99497,             0.57623,            0.026945,           0.0051919,                   0,            0.009901,            0.009901,            0.009901
                   5,             0.02865,             0.00667,                   0,             0.99667,             0.99896,               0.995,             0.68455,            0.022059,           0.0050731,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.026966,           0.0066079,                   0,              0.9984,                   1,               0.995,             0.68568,            0.022179,           0.0049345,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.026281,           0.0063216,                   0,             0.99889,                   1,               0.995,             0.68677,            0.021498,           0.0048506,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.024463,           0.0061044,                   0,             0.99928,                   1,               0.995,             0.66851,             0.02262,           0.0049406,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.024919,           0.0060904,                   0,             0.99945,                   1,               0.995,              0.7139,            0.020035,            0.004743,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.024393,           0.0059744,                   0,             0.99938,                   1,               0.995,             0.70609,            0.020522,           0.0048776,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.023864,           0.0059877,                   0,             0.99955,                   1,               0.995,             0.70212,            0.020445,           0.0048441,                   0,             0.00967,             0.00967,             0.00967
                  12,               0.023,           0.0058868,                   0,                   1,             0.99978,               0.995,             0.71212,            0.020666,           0.0047273,                   0,            0.009637,            0.009637,            0.009637
                  13,             0.02325,           0.0058512,                   0,             0.99928,                   1,               0.995,             0.71296,            0.019959,           0.0045971,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.022262,           0.0058175,                   0,             0.99967,                   1,               0.995,             0.72204,            0.019511,           0.0045554,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.022983,           0.0057888,                   0,             0.99967,                   1,               0.995,             0.71397,            0.020171,           0.0046104,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.022815,             0.00565,                   0,             0.99921,                   1,               0.995,             0.71993,            0.019827,            0.004592,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.022635,           0.0055572,                   0,             0.99974,                   1,               0.995,             0.71117,            0.020911,           0.0045681,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.022193,           0.0056955,                   0,              0.9996,                   1,               0.995,             0.73013,              0.0197,           0.0046127,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.022083,            0.005671,                   0,             0.99954,                   1,               0.995,              0.7253,            0.019459,           0.0045539,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.021254,           0.0057124,                   0,             0.99969,                   1,               0.995,             0.71645,            0.019677,           0.0046356,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.021997,            0.005496,                   0,             0.99979,                   1,               0.995,             0.72582,            0.019055,           0.0045594,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.021289,           0.0054924,                   0,             0.99974,                   1,               0.995,             0.72119,             0.01981,           0.0046025,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.021591,           0.0055774,                   0,             0.99958,                   1,               0.995,             0.70859,            0.020379,           0.0045323,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.021041,            0.005476,                   0,             0.99963,                   1,               0.995,             0.72915,            0.019474,           0.0045667,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.021557,           0.0055114,                   0,             0.99973,                   1,               0.995,             0.73518,              0.0189,           0.0045125,                   0,            0.009208,            0.009208,            0.009208
